open,close,high,low,vol,amount,date,code,volume
75.81,76.3,77.1,75.67,80498.0,614497408.0,2025-05-28,688008,80498.0
76.32,77.95,78.18,76.2,113488.0,879823488.0,2025-05-29,688008,113488.0
77.11,76.32,77.4,75.51,128775.0,981122752.0,2025-05-30,688008,128775.0
77.84,80.72,82.49,77.35,423175.0,3425577216.0,2025-06-03,688008,423175.0
80.4,80.3,81.08,79.92,179662.0,1444640512.0,2025-06-04,688008,179662.0
80.89,83.8,83.98,80.29,309120.0,2551115520.0,2025-06-05,688008,309120.0
83.11,83.84,84.2,82.8,181508.0,1514550400.0,2025-06-06,688008,181508.0
84.0,83.89,84.49,82.87,185009.0,1544128768.0,2025-06-09,688008,185009.0
83.5,81.81,83.5,80.7,243354.0,1992713344.0,2025-06-10,688008,243354.0
82.0,82.04,83.35,81.59,156497.0,1290295168.0,2025-06-11,688008,156497.0
81.8,81.28,82.89,81.13,167698.0,1370985984.0,2025-06-12,688008,167698.0
81.0,79.0,81.41,79.0,308183.0,2460454144.0,2025-06-13,688008,308183.0
78.9,79.54,81.25,78.8,200369.0,1602995584.0,2025-06-16,688008,200369.0
79.95,79.75,80.91,79.28,139308.0,1111454208.0,2025-06-17,688008,139308.0
79.5,80.55,81.57,79.2,172812.0,1392452608.0,2025-06-18,688008,172812.0
80.56,81.3,83.1,80.56,214968.0,1759706880.0,2025-06-19,688008,214968.0
81.21,81.57,82.68,81.12,149873.0,1226351488.0,2025-06-20,688008,149873.0
79.0,78.01,81.5,77.45,328325.0,2602438144.0,2025-06-23,688008,328325.0
78.85,79.05,80.17,78.48,227331.0,1802533760.0,2025-06-24,688008,227331.0
79.23,80.78,80.88,78.29,236199.0,1880573696.0,2025-06-25,688008,236199.0
80.81,79.8,81.4,79.8,181772.0,1461410816.0,2025-06-26,688008,181772.0
80.26,80.15,81.38,79.63,168196.0,1354235392.0,2025-06-27,688008,168196.0
80.6,82.0,82.16,80.59,198746.0,1619593984.0,2025-06-30,688008,198746.0
81.99,82.0,82.72,81.47,140682.0,1153547136.0,2025-07-01,688008,140682.0
81.6,80.26,81.96,80.19,132174.0,1070537920.0,2025-07-02,688008,132174.0
80.67,82.3,82.32,80.51,159515.0,1304172416.0,2025-07-03,688008,159515.0
82.0,81.62,83.16,81.1,154172.0,1263298176.0,2025-07-04,688008,154172.0
81.16,80.26,81.5,79.42,140087.0,1123018880.0,2025-07-07,688008,140087.0
80.5,82.9,83.28,80.44,202424.0,1666940160.0,2025-07-08,688008,202424.0
82.56,81.0,83.4,80.82,163036.0,1333202176.0,2025-07-09,688008,163036.0
81.3,80.82,81.8,80.6,159563.0,1293897728.0,2025-07-10,688008,159563.0
80.85,83.03,83.28,80.5,230359.0,1895583104.0,2025-07-11,688008,230359.0
83.1,82.71,83.88,82.16,177938.0,1476471808.0,2025-07-14,688008,177938.0
82.74,85.3,86.36,82.51,347114.0,2943052032.0,2025-07-15,688008,347114.0
85.75,84.96,87.97,84.68,313532.0,2698394112.0,2025-07-16,688008,313532.0
84.85,86.27,86.5,84.35,198432.0,1699120128.0,2025-07-17,688008,198432.0
85.95,85.66,86.7,85.01,158471.0,1358709760.0,2025-07-18,688008,158471.0
85.3,83.91,85.4,83.3,232276.0,1951408896.0,2025-07-21,688008,232276.0
83.92,83.32,84.2,83.07,183901.0,1538275456.0,2025-07-22,688008,183901.0
83.32,83.52,84.64,82.97,205507.0,1721320192.0,2025-07-23,688008,205507.0
83.4,83.68,83.83,82.69,244290.0,2032548736.0,2025-07-24,688008,244290.0
83.61,84.6,85.1,82.65,263683.0,2206120704.0,2025-07-25,688008,263683.0
84.5,85.97,86.18,83.69,311729.0,2647130624.0,2025-07-28,688008,311729.0
85.55,87.0,88.1,85.51,313462.0,2726107392.0,2025-07-29,688008,313462.0
87.1,87.21,88.66,86.01,273123.0,2382778624.0,2025-07-30,688008,273123.0
87.0,85.02,88.87,84.51,310144.0,2685465088.0,2025-07-31,688008,310144.0
85.1,82.19,85.85,81.66,291833.0,2433071360.0,2025-08-01,688008,291833.0
82.0,84.16,84.5,81.93,245796.0,2056417408.0,2025-08-04,688008,245796.0
84.29,85.16,85.85,83.55,180386.0,1534568576.0,2025-08-05,688008,180386.0
85.17,90.94,91.55,84.71,476694.0,4245844992.0,2025-08-06,688008,476694.0
91.4,92.96,93.86,91.4,401658.0,3722074112.0,2025-08-07,688008,401658.0
92.95,91.36,93.02,91.22,216129.0,1987730560.0,2025-08-08,688008,216129.0
91.36,90.83,92.3,90.17,188475.0,1716045440.0,2025-08-11,688008,188475.0
90.77,90.16,92.06,89.81,252880.0,2291309056.0,2025-08-12,688008,252880.0
90.74,90.15,91.1,89.6,265836.0,2397768192.0,2025-08-13,688008,265836.0
90.15,88.94,91.6,88.8,349681.0,3151503104.0,2025-08-14,688008,349681.0
89.96,93.0,93.28,89.95,376189.0,3465634304.0,2025-08-15,688008,376189.0
93.02,91.73,93.6,91.5,409799.0,3787493120.0,2025-08-18,688008,409799.0
92.33,89.6,93.07,89.5,350897.0,3205167872.0,2025-08-19,688008,350897.0
90.47,92.86,92.87,88.33,417557.0,3773037056.0,2025-08-20,688008,417557.0
92.88,91.18,94.94,90.81,368570.0,3419729152.0,2025-08-21,688008,368570.0
91.94,99.11,99.19,91.18,718053.0,6876378112.0,2025-08-22,688008,718053.0
102.87,101.98,106.59,99.61,747152.0,7626148864.0,2025-08-25,688008,747152.0
101.0,103.6,106.25,100.3,479915.0,4985994752.0,2025-08-26,688008,479915.0
103.2,108.2,115.87,102.86,781875.0,8569515520.0,2025-08-27,688008,781875.0
109.0,117.5,117.71,109.0,809760.0,9229645824.0,2025-08-28,688008,809760.0
115.15,122.9,124.68,111.0,703320.0,8155828224.0,2025-08-29,688008,703320.0
128.0,124.22,129.98,119.8,644236.0,8008368640.0,2025-09-01,688008,644236.0
124.55,115.4,127.18,114.01,703482.0,8390027776.0,2025-09-02,688008,703482.0
114.36,112.49,115.82,110.98,498354.0,5648215552.0,2025-09-03,688008,498354.0
112.75,102.85,112.98,101.1,671627.0,7112289792.0,2025-09-04,688008,671627.0
104.15,108.41,108.76,102.48,502484.0,5315320320.0,2025-09-05,688008,502484.0
110.0,109.33,112.59,108.04,459883.0,5052386304.0,2025-09-08,688008,459883.0
110.5,107.95,112.5,107.71,402045.0,4401854464.0,2025-09-09,688008,402045.0
109.0,114.1,117.54,108.02,585521.0,6667367424.0,2025-09-10,688008,585521.0
110.0,117.4,119.27,108.0,787775.0,8997684224.0,2025-09-11,688008,787775.0
117.4,118.2,122.89,116.02,663546.0,7877920256.0,2025-09-12,688008,663546.0
120.3,117.16,121.03,116.2,422874.0,4986853376.0,2025-09-15,688008,422874.0
118.0,120.48,124.55,117.09,542843.0,6574365184.0,2025-09-16,688008,542843.0
119.76,119.11,120.39,115.5,433512.0,5121161728.0,2025-09-17,688008,433512.0
119.52,119.01,124.55,116.57,625314.0,7585970176.0,2025-09-18,688008,625314.0
122.17,120.59,131.54,119.66,753276.0,9426904064.0,2025-09-19,688008,753276.0
120.18,125.29,126.44,120.11,558638.0,6942433280.0,2025-09-22,688008,558638.0
124.05,126.31,127.77,120.57,586997.0,7297717248.0,2025-09-23,688008,586997.0
125.0,135.86,139.99,124.0,781769.0,10312100864.0,2025-09-24,688008,781769.0
133.15,136.6,137.2,132.1,444798.0,6000713728.0,2025-09-25,688008,444798.0
135.6,133.1,139.45,133.01,379833.0,5178707968.0,2025-09-26,688008,379833.0
134.66,143.65,143.88,133.0,507697.0,7038909440.0,2025-09-29,688008,507697.0
145.8,154.8,157.97,142.5,593846.0,9028981760.0,2025-09-30,688008,593846.0
162.0,157.08,169.9,155.78,759014.0,12306817024.0,2025-10-09,688008,759014.0
154.0,150.06,159.0,148.55,536322.0,8189039616.0,2025-10-10,688008,536322.0
141.0,148.05,152.55,141.0,486880.0,7213219328.0,2025-10-13,688008,486880.0
151.24,147.0,155.9,143.77,514269.0,7689556480.0,2025-10-14,688008,514269.0
143.11,144.55,145.0,136.38,458651.0,6457985536.0,2025-10-15,688008,458651.0
143.5,144.6,151.0,143.2,402648.0,5911916032.0,2025-10-16,688008,402648.0
143.15,138.0,145.45,137.81,382019.0,5365666816.0,2025-10-17,688008,382019.0
141.98,135.15,142.99,133.66,458386.0,6315068416.0,2025-10-20,688008,458386.0
136.3,139.0,140.44,135.3,351218.0,4875734528.0,2025-10-21,688008,351218.0
137.5,136.36,137.87,134.7,251019.0,3424355072.0,2025-10-22,688008,251019.0
135.88,136.42,137.2,132.33,223038.0,3004702976.0,2025-10-23,688008,223038.0
139.39,146.05,146.19,139.3,490977.0,7076979200.0,2025-10-24,688008,490977.0
153.0,151.01,153.46,146.11,543984.0,8145484288.0,2025-10-27,688008,543984.0
147.5,149.36,152.09,146.99,348338.0,5205905920.0,2025-10-28,688008,348338.0
149.0,153.3,155.5,149.0,327299.0,4988411392.0,2025-10-29,688008,327299.0
155.0,152.0,158.88,151.21,436911.0,6756662784.0,2025-10-30,688008,436911.0
148.01,136.3,149.0,136.3,707860.0,9928716288.0,2025-10-31,688008,707860.0
